ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,155,Northampton General Hospital NHS Trust,England,Midlands,,,East Midlands,-0.886687282,52.23713239,4126,-1,-1,0,Suppressed due to small numbers,2.71,4,Within 5%,2.12 to 3.61,4114,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.45 to 1.00,13,3.15,3,5 to 15% lower,3.41,4,Within 5%,2.86 to 4.40,3,"4,000 or more births",2.72,0.73,3.44
2024,240,Northern Care Alliance NHS Foundation Trust,England,North West,,,North West,-2.229486529,53.51788238,4941,17,3.44,5,Over 5% higher,3.16,4,Within 5%,2.29 to 4.03,4924,6,1.22,2,Over 15% lower,1.46,4,Within 5%,1.08 to 2.02,23,4.65,4,Within 5%,4.61,4,Within 5%,3.79 to 5.78,2,Level 3 NICU,3.22,1.46,4.68
2024,158,Northern Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-6.187415783,54.73129587,3342,-1,-1,0,Suppressed due to small numbers,2.77,4,Within 5%,2.13 to 3.68,3332,-1,-1,0,Suppressed due to small numbers,0.82,4,Within 5%,0.57 to 1.17,12,3.59,4,Within 5%,3.59,4,Within 5%,2.98 to 4.64,4,"2,000-3,999 births",2.71,0.83,3.54
2024,160,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-0.096213098,53.54486634,3730,13,3.49,5,Over 5% higher,2.79,4,Within 5%,2.16 to 3.70,3717,3,0.81,4,Within 5%,0.8,4,Within 5%,0.55 to 1.17,16,4.29,5,Over 5% higher,3.57,4,Within 5%,3.01 to 4.64,4,"2,000-3,999 births",2.71,0.83,3.54
2024,162,Northumbria Healthcare NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.546601959,55.18431002,3622,-1,-1,0,Suppressed due to small numbers,2.72,4,Within 5%,2.04 to 3.63,3613,-1,-1,0,Suppressed due to small numbers,0.81,4,Within 5%,0.52 to 1.19,10,2.76,2,Over 15% lower,3.52,4,Within 5%,2.88 to 4.68,4,"2,000-3,999 births",2.71,0.83,3.54
2024,163,Nottingham University Hospitals NHS Trust,England,Midlands,,,East Midlands,-1.185799632,52.94343883,7269,19,2.61,2,Over 15% lower,2.97,3,5 to 15% lower,2.21 to 3.88,7250,12,1.66,5,Over 5% higher,1.27,4,Within 5%,0.93 to 1.78,31,4.26,4,Within 5%,4.25,4,Within 5%,3.54 to 5.41,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,166,Oxford University Hospitals NHS Foundation Trust,England,South East,,,Thames Valley and Wessex,-1.219806352,51.76387059,7388,18,2.44,2,Over 15% lower,3.12,4,Within 5%,2.35 to 3.96,7370,5,0.68,2,Over 15% lower,1.12,3,5 to 15% lower,0.78 to 1.64,23,3.11,2,Over 15% lower,4.22,3,5 to 15% lower,3.42 to 5.29,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,174,Portsmouth Hospitals University NHS Trust,England,South East,,,Thames Valley and Wessex,-1.071323824,50.84958907,4839,16,3.31,4,Within 5%,3.29,4,Within 5%,2.53 to 4.36,4823,4,0.83,2,Over 15% lower,1.34,3,5 to 15% lower,0.94 to 1.88,20,4.13,3,5 to 15% lower,4.59,4,Within 5%,3.84 to 5.93,2,Level 3 NICU,3.22,1.46,4.68
2024,175,Powys Teaching Health Board,Wales,Wales,,,Wales,-3.377196373,52.24209297,172,-1,-1,0,Suppressed due to small numbers,2.43,4,Within 5%,1.61 to 3.72,172,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.35 to 1.10,-1,-1,0,Suppressed due to small numbers,3.12,4,Within 5%,2.28 to 4.53,5,"Under 2,000 births",2.44,0.7,3.13
2024,296,RAF Lakenheath (48th Medical Group),England,,,,,0.527771499,52.41794655,392,-1,-1,0,Suppressed due to small numbers,2.43,4,Within 5%,1.55 to 3.77,392,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.37 to 1.13,-1,-1,0,Suppressed due to small numbers,3.12,4,Within 5%,2.12 to 4.63,5,"Under 2,000 births",2.44,0.7,3.13
2024,179,Royal Berkshire NHS Foundation Trust,England,South East,,,Thames Valley and Wessex,-0.958645039,51.45140241,4559,-1,-1,0,Suppressed due to small numbers,2.65,4,Within 5%,1.93 to 3.44,4549,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.48 to 1.01,11,2.41,2,Over 15% lower,3.34,4,Within 5%,2.66 to 4.27,3,"4,000 or more births",2.72,0.73,3.44
2024,181,Royal Cornwall Hospitals NHS Trust,England,South West,,,South West,-5.091450065,50.26668644,3389,4,1.18,2,Over 15% lower,2.53,3,5 to 15% lower,1.78 to 3.25,3385,5,1.48,5,Over 5% higher,0.87,5,Over 5% higher,0.63 to 1.27,9,2.66,2,Over 15% lower,3.4,4,Within 5%,2.72 to 4.35,4,"2,000-3,999 births",2.71,0.83,3.54
2024,182,Royal Devon University Healthcare NHS Foundation Trust,England,South West,,,South West,-3.506680101,50.71671184,4617,19,4.12,5,Over 5% higher,2.95,5,Over 5% higher,2.33 to 4.10,4598,7,1.52,5,Over 5% higher,0.8,5,Over 5% higher,0.56 to 1.25,26,5.63,5,Over 5% higher,3.75,5,Over 5% higher,3.12 to 5.04,3,"4,000 or more births",2.72,0.73,3.44
2024,183,Royal Free London NHS Foundation Trust,England,London,,,London,-0.165323655,51.5532242,10784,27,2.5,3,5 to 15% lower,2.59,4,Within 5%,2.04 to 3.33,10757,7,0.65,3,5 to 15% lower,0.73,4,Within 5%,0.52 to 1.05,34,3.15,3,5 to 15% lower,3.32,4,Within 5%,2.78 to 4.24,3,"4,000 or more births",2.72,0.73,3.44
2024,187,Royal Surrey County Hospital NHS Foundation Trust,England,South East,,,"Kent, Surrey and Sussex",-0.607462336,51.24102514,3095,-1,-1,0,Suppressed due to small numbers,2.79,4,Within 5%,2.22 to 3.74,3086,-1,-1,0,Suppressed due to small numbers,0.84,4,Within 5%,0.53 to 1.26,11,3.55,4,Within 5%,3.63,4,Within 5%,3.06 to 4.85,4,"2,000-3,999 births",2.71,0.83,3.54
2024,188,Royal United Hospitals Bath NHS Foundation Trust,England,South West,,,South West,-2.391203448,51.3916653,4029,10,2.48,3,5 to 15% lower,2.73,4,Within 5%,2.04 to 3.61,4019,3,0.75,4,Within 5%,0.74,4,Within 5%,0.51 to 1.05,13,3.23,3,5 to 15% lower,3.46,4,Within 5%,2.86 to 4.42,3,"4,000 or more births",2.72,0.73,3.44
2024,190,Salisbury NHS Foundation Trust,England,South West,,,Thames Valley and Wessex,-1.789822531,51.04395528,1994,-1,-1,0,Suppressed due to small numbers,2.64,4,Within 5%,1.93 to 3.37,1991,-1,-1,0,Suppressed due to small numbers,0.8,4,Within 5%,0.54 to 1.15,3,1.5,2,Over 15% lower,3.44,4,Within 5%,2.79 to 4.25,4,"2,000-3,999 births",2.71,0.83,3.54
2024,191,Sandwell and West Birmingham Hospitals NHS Trust,England,Midlands,,,West Midlands,-1.92942684,52.48982133,5353,25,4.67,5,Over 5% higher,2.82,4,Within 5%,2.24 to 3.76,5328,5,0.94,5,Over 5% higher,0.72,4,Within 5%,0.53 to 1.00,30,5.6,5,Over 5% higher,3.54,4,Within 5%,3.03 to 4.74,3,"4,000 or more births",2.72,0.73,3.44
2024,195,Sheffield Teaching Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.494766075,53.37905299,5620,26,4.63,5,Over 5% higher,3.47,5,Over 5% higher,2.75 to 4.72,5594,8,1.43,5,Over 5% higher,1.23,4,Within 5%,0.90 to 1.69,34,6.05,5,Over 5% higher,4.68,5,Over 5% higher,4.04 to 6.12,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,196,Sherwood Forest Hospitals NHS Foundation Trust,England,Midlands,,,East Midlands,-1.238092651,53.13469174,3507,-1,-1,0,Suppressed due to small numbers,2.85,5,Over 5% higher,2.26 to 3.82,3493,-1,-1,0,Suppressed due to small numbers,0.8,4,Within 5%,0.54 to 1.16,16,4.56,5,Over 5% higher,3.63,4,Within 5%,3.07 to 4.80,4,"2,000-3,999 births",2.71,0.83,3.54
2024,229,Somerset NHS Foundation Trust,England,South West,,,South West,-2.63471,50.94484,4103,8,1.95,2,Over 15% lower,2.62,4,Within 5%,1.98 to 3.32,4095,4,0.98,5,Over 5% higher,0.75,4,Within 5%,0.54 to 1.09,12,2.92,2,Over 15% lower,3.37,4,Within 5%,2.78 to 4.32,3,"4,000 or more births",2.72,0.73,3.44
2024,203,South Eastern Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.816312587,54.59569535,3568,7,1.96,2,Over 15% lower,2.7,4,Within 5%,2.07 to 3.50,3561,5,1.4,5,Over 5% higher,0.87,5,Over 5% higher,0.59 to 1.30,12,3.36,4,Within 5%,3.58,4,Within 5%,3.04 to 4.60,4,"2,000-3,999 births",2.71,0.83,3.54
2024,208,South Tees Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.214273582,54.55207515,4670,20,4.28,5,Over 5% higher,3.43,5,Over 5% higher,2.64 to 4.64,4650,5,1.08,2,Over 15% lower,1.41,4,Within 5%,1.00 to 1.94,25,5.35,5,Over 5% higher,4.82,4,Within 5%,4.08 to 6.37,2,Level 3 NICU,3.22,1.46,4.68
2024,47,South Tyneside and Sunderland NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.411018196,54.90306329,3577,17,4.75,5,Over 5% higher,3.46,5,Over 5% higher,2.61 to 4.85,3560,8,2.25,5,Over 5% higher,1.62,5,Over 5% higher,1.14 to 2.40,25,6.99,5,Over 5% higher,5.07,5,Over 5% higher,4.19 to 6.83,2,Level 3 NICU,3.22,1.46,4.68
2024,210,South Warwickshire University NHS Foundation Trust,England,Midlands,,,West Midlands,-1.5832152,52.28995018,3375,-1,-1,0,Suppressed due to small numbers,2.72,4,Within 5%,2.02 to 3.53,3367,-1,-1,0,Suppressed due to small numbers,0.81,4,Within 5%,0.55 to 1.13,9,2.67,2,Over 15% lower,3.53,4,Within 5%,2.84 to 4.58,4,"2,000-3,999 births",2.71,0.83,3.54
2024,215,Southern Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-6.409170158,54.43311586,4538,7,1.54,2,Over 15% lower,2.55,3,5 to 15% lower,1.87 to 3.27,4531,5,1.1,5,Over 5% higher,0.76,4,Within 5%,0.54 to 1.11,12,2.64,2,Over 15% lower,3.31,4,Within 5%,2.59 to 4.21,3,"4,000 or more births",2.72,0.73,3.44
2024,218,St George's University Hospitals NHS Foundation Trust,England,London,,,London,-0.175745892,51.42672736,3925,21,5.35,5,Over 5% higher,3.54,5,Over 5% higher,2.71 to 5.12,3904,8,2.05,5,Over 5% higher,1.29,4,Within 5%,0.95 to 1.84,29,7.39,5,Over 5% higher,4.81,5,Over 5% higher,4.06 to 6.55,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,221,States of Guernsey Health & Social Services,Crown Dependencies,,,,,-2.538998,49.456814,422,-1,-1,0,Suppressed due to small numbers,2.5,4,Within 5%,1.66 to 4.17,420,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.35 to 1.10,-1,-1,0,Suppressed due to small numbers,3.13,4,Within 5%,2.21 to 4.66,5,"Under 2,000 births",2.44,0.7,3.13
2024,222,States of Jersey Health & Social Services,Crown Dependencies,,,,,-2.110228,49.185664,719,-1,-1,0,Suppressed due to small numbers,2.5,4,Within 5%,1.65 to 3.81,717,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.36 to 1.06,-1,-1,0,Suppressed due to small numbers,3.13,4,Within 5%,2.19 to 4.51,5,"Under 2,000 births",2.44,0.7,3.13
2024,223,Stockport NHS Foundation Trust,England,North West,,,North West,-2.132019855,53.3837869,2795,-1,-1,0,Suppressed due to small numbers,2.8,4,Within 5%,2.18 to 3.90,2785,-1,-1,0,Suppressed due to small numbers,0.8,4,Within 5%,0.52 to 1.15,11,3.94,5,Over 5% higher,3.58,4,Within 5%,2.98 to 4.80,4,"2,000-3,999 births",2.71,0.83,3.54
2024,225,Surrey and Sussex Healthcare NHS Trust,England,South East,,,"Kent, Surrey and Sussex",-0.161288084,51.21860711,3925,6,1.53,2,Over 15% lower,2.57,3,5 to 15% lower,1.89 to 3.36,3919,4,1.02,5,Over 5% higher,0.75,4,Within 5%,0.54 to 1.09,10,2.55,2,Over 15% lower,3.33,4,Within 5%,2.76 to 4.24,3,"4,000 or more births",2.72,0.73,3.44
2024,3,Swansea Bay University Health Board,Wales,Wales,,,Wales,-3.935120838,51.6846181,3314,12,3.62,5,Over 5% higher,3.7,5,Over 5% higher,2.69 to 7.92,3302,3,0.91,2,Over 15% lower,1.4,4,Within 5%,0.98 to 1.93,15,4.53,4,Within 5%,4.73,4,Within 5%,3.85 to 6.87,2,Level 3 NICU,3.22,1.46,4.68
2024,228,Tameside and Glossop Integrated Care NHS Foundation Trust,England,North West,,,North West,-2.071856536,53.49220377,2172,-1,-1,0,Suppressed due to small numbers,2.61,4,Within 5%,1.93 to 3.36,2168,-1,-1,0,Suppressed due to small numbers,0.82,4,Within 5%,0.57 to 1.18,6,2.76,2,Over 15% lower,3.43,4,Within 5%,2.86 to 4.41,4,"2,000-3,999 births",2.71,0.83,3.54
2024,234,The Dudley Group NHS Foundation Trust,England,Midlands,,,West Midlands,-2.117749817,52.50230635,4101,10,2.44,3,5 to 15% lower,2.61,4,Within 5%,1.96 to 3.38,4091,3,0.73,4,Within 5%,0.71,4,Within 5%,0.52 to 0.99,13,3.17,3,5 to 15% lower,3.33,4,Within 5%,2.74 to 4.18,3,"4,000 or more births",2.72,0.73,3.44
2024,235,The Hillingdon Hospitals NHS Foundation Trust,England,London,,,London,-0.460905351,51.52551554,3927,-1,-1,0,Suppressed due to small numbers,2.77,4,Within 5%,2.18 to 3.70,3912,-1,-1,0,Suppressed due to small numbers,0.76,3,5 to 15% lower,0.47 to 1.10,15,3.82,5,Over 5% higher,3.54,4,Within 5%,2.97 to 4.57,4,"2,000-3,999 births",2.71,0.83,3.54
2024,236,The Leeds Teaching Hospitals NHS Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.551743589,53.8014452,8587,30,3.49,5,Over 5% higher,3.25,4,Within 5%,2.55 to 4.12,8557,15,1.75,5,Over 5% higher,1.44,5,Over 5% higher,0.96 to 2.30,45,5.24,5,Over 5% higher,4.66,4,Within 5%,3.93 to 6.00,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,238,The Newcastle upon Tyne Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.618109403,54.97975251,5070,12,2.37,2,Over 15% lower,3.04,3,5 to 15% lower,2.26 to 3.95,5058,11,2.17,5,Over 5% higher,1.29,4,Within 5%,0.92 to 1.84,23,4.54,4,Within 5%,4.36,4,Within 5%,3.63 to 5.54,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,295,The Portland Hospital for Women and Children,England,,,,,-0.144347512,51.52315622,1510,-1,-1,0,Suppressed due to small numbers,2.31,3,5 to 15% lower,1.42 to 3.27,1510,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.35 to 1.05,-1,-1,0,Suppressed due to small numbers,2.99,4,Within 5%,1.99 to 4.20,5,"Under 2,000 births",2.44,0.7,3.13
2024,241,The Princess Alexandra Hospital NHS Trust,England,East of England,,,East of England,0.086303423,51.77134302,3626,11,3.03,5,Over 5% higher,2.8,4,Within 5%,2.16 to 3.79,3615,3,0.83,4,Within 5%,0.84,4,Within 5%,0.57 to 1.19,14,3.86,5,Over 5% higher,3.64,4,Within 5%,3.04 to 4.79,4,"2,000-3,999 births",2.71,0.83,3.54
2024,242,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,England,East of England,,,East of England,0.446999307,52.7567811,1828,6,3.28,5,Over 5% higher,2.47,4,Within 5%,1.65 to 3.70,1822,3,1.65,5,Over 5% higher,0.72,4,Within 5%,0.47 to 1.23,9,4.92,5,Over 5% higher,3.19,4,Within 5%,2.40 to 4.66,5,"Under 2,000 births",2.44,0.7,3.13
2024,244,The Rotherham NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.342572782,53.41441098,2466,10,4.06,5,Over 5% higher,2.82,4,Within 5%,2.21 to 3.82,2456,4,1.63,5,Over 5% higher,0.86,4,Within 5%,0.61 to 1.26,14,5.68,5,Over 5% higher,3.68,4,Within 5%,3.13 to 4.83,4,"2,000-3,999 births",2.71,0.83,3.54
2024,248,The Royal Wolverhampton NHS Trust,England,Midlands,,,West Midlands,-2.095949322,52.59772641,5314,20,3.76,5,Over 5% higher,3.23,4,Within 5%,2.41 to 4.18,5294,10,1.89,5,Over 5% higher,1.42,4,Within 5%,1.04 to 1.98,30,5.65,5,Over 5% higher,4.63,4,Within 5%,3.87 to 5.90,2,Level 3 NICU,3.22,1.46,4.68
2024,249,The Shrewsbury and Telford Hospital NHS Trust,England,Midlands,,,West Midlands,-2.793751663,52.70935697,3955,10,2.53,3,5 to 15% lower,2.67,4,Within 5%,2.05 to 3.61,3945,5,1.27,5,Over 5% higher,0.83,4,Within 5%,0.60 to 1.18,15,3.79,5,Over 5% higher,3.51,4,Within 5%,2.94 to 4.60,4,"2,000-3,999 births",2.71,0.83,3.54
2024,201,Torbay and South Devon NHS Foundation Trust,England,South West,,,South West,-3.553790102,50.48232531,1715,-1,-1,0,Suppressed due to small numbers,2.42,4,Within 5%,1.65 to 3.52,1711,-1,-1,0,Suppressed due to small numbers,0.71,4,Within 5%,0.42 to 1.19,6,3.5,5,Over 5% higher,3.13,4,Within 5%,2.25 to 4.62,5,"Under 2,000 births",2.44,0.7,3.13
2024,252,United Lincolnshire Teaching Hospitals NHS Trust,England,Midlands,,,East Midlands,-0.522796303,53.23532265,4413,15,3.4,5,Over 5% higher,2.8,4,Within 5%,2.13 to 3.77,4398,3,0.68,3,5 to 15% lower,0.73,4,Within 5%,0.50 to 0.99,18,4.08,5,Over 5% higher,3.53,4,Within 5%,2.96 to 4.62,3,"4,000 or more births",2.72,0.73,3.44
2024,253,University College London Hospitals NHS Foundation Trust,England,London,,,London,-0.137012509,51.52486543,5939,19,3.2,4,Within 5%,3.23,4,Within 5%,2.56 to 4.16,5920,4,0.68,2,Over 15% lower,1.17,3,5 to 15% lower,0.81 to 1.67,23,3.87,3,5 to 15% lower,4.39,4,Within 5%,3.76 to 5.56,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,257,University Hospital Southampton NHS Foundation Trust,England,South East,,,Thames Valley and Wessex,-1.434863445,50.9352573,4903,19,3.88,5,Over 5% higher,3.39,5,Over 5% higher,2.61 to 4.54,4884,4,0.82,2,Over 15% lower,1.16,3,5 to 15% lower,0.82 to 1.62,23,4.69,5,Over 5% higher,4.5,4,Within 5%,3.78 to 5.95,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,254,University Hospitals Birmingham NHS Foundation Trust,England,Midlands,,,West Midlands,-1.829965589,52.48021804,8451,33,3.9,5,Over 5% higher,3.27,4,Within 5%,2.59 to 4.15,8418,13,1.54,5,Over 5% higher,1.54,5,Over 5% higher,1.11 to 2.15,46,5.44,5,Over 5% higher,4.8,4,Within 5%,4.13 to 6.16,2,Level 3 NICU,3.22,1.46,4.68
2024,259,University Hospitals Bristol and Weston NHS Foundation Trust,England,South West,,,South West,-2.599390811,51.45913079,4423,11,2.49,2,Over 15% lower,3.11,4,Within 5%,2.41 to 4.03,4412,7,1.59,5,Over 5% higher,1.32,5,Over 5% higher,0.92 to 1.91,18,4.07,3,5 to 15% lower,4.41,4,Within 5%,3.62 to 5.63,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,258,University Hospitals Coventry and Warwickshire NHS Trust,England,Midlands,,,West Midlands,-1.443503057,52.42142369,5662,23,4.06,5,Over 5% higher,3.34,4,Within 5%,2.57 to 4.46,5639,12,2.13,5,Over 5% higher,1.52,4,Within 5%,1.11 to 2.08,35,6.18,5,Over 5% higher,4.85,4,Within 5%,4.14 to 6.18,2,Level 3 NICU,3.22,1.46,4.68
2024,173,University Hospitals Dorset NHS Foundation Trust,England,South West,,,Thames Valley and Wessex,-1.973116893,50.72198736,3746,-1,-1,0,Suppressed due to small numbers,2.69,4,Within 5%,2.05 to 3.48,3737,-1,-1,0,Suppressed due to small numbers,0.8,4,Within 5%,0.55 to 1.12,11,2.94,2,Over 15% lower,3.48,4,Within 5%,2.93 to 4.39,4,"2,000-3,999 births",2.71,0.83,3.54
2024,33,University Hospitals of Derby and Burton NHS Foundation Trust,England,Midlands,,,East Midlands,-1.513320614,52.91155644,8131,18,2.21,2,Over 15% lower,2.55,3,5 to 15% lower,1.93 to 3.26,8113,6,0.74,4,Within 5%,0.7,4,Within 5%,0.47 to 0.97,24,2.95,3,5 to 15% lower,3.25,3,5 to 15% lower,2.63 to 4.06,3,"4,000 or more births",2.72,0.73,3.44
2024,260,University Hospitals of Leicester NHS Trust,England,Midlands,,,East Midlands,-1.13480282,52.62781654,9512,40,4.21,5,Over 5% higher,3.4,5,Over 5% higher,2.69 to 4.51,9472,15,1.58,5,Over 5% higher,1.31,5,Over 5% higher,0.94 to 1.80,55,5.78,5,Over 5% higher,4.71,5,Over 5% higher,4.02 to 6.06,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,261,University Hospitals of Morecambe Bay NHS Foundation Trust,England,North West,,,North West,-2.799021453,54.04288873,2540,-1,-1,0,Suppressed due to small numbers,2.78,4,Within 5%,2.13 to 3.74,2532,-1,-1,0,Suppressed due to small numbers,0.81,4,Within 5%,0.56 to 1.16,9,3.54,4,Within 5%,3.58,4,Within 5%,3.02 to 4.70,4,"2,000-3,999 births",2.71,0.83,3.54
2024,255,University Hospitals of North Midlands NHS Trust,England,Midlands,,,West Midlands,-2.214872336,53.00402068,6067,16,2.64,2,Over 15% lower,3.08,4,Within 5%,2.31 to 3.86,6051,13,2.15,5,Over 5% higher,1.67,5,Over 5% higher,1.13 to 2.50,29,4.78,4,Within 5%,4.73,4,Within 5%,3.78 to 6.03,2,Level 3 NICU,3.22,1.46,4.68
2024,172,University Hospitals Plymouth NHS Trust,England,South West,,,South West,-4.11368451,50.41671997,3384,10,2.96,3,5 to 15% lower,3.22,4,Within 5%,2.41 to 4.23,3374,6,1.78,5,Over 5% higher,1.44,4,Within 5%,1.02 to 2.02,16,4.73,4,Within 5%,4.65,4,Within 5%,3.80 to 5.92,2,Level 3 NICU,3.22,1.46,4.68
2024,273,University Hospitals Sussex NHS Foundation Trust,England,South East,,,"Kent, Surrey and Sussex",-0.768026699,50.84356248,8527,11,1.29,2,Over 15% lower,2.81,3,5 to 15% lower,1.89 to 3.73,8516,9,1.06,2,Over 15% lower,1.3,4,Within 5%,0.92 to 1.82,20,2.35,2,Over 15% lower,4.08,3,5 to 15% lower,3.19 to 5.18,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,264,Walsall Healthcare NHS Trust,England,Midlands,,,West Midlands,-1.997447678,52.58469431,3829,-1,-1,0,Suppressed due to small numbers,2.7,4,Within 5%,2.05 to 3.56,3816,-1,-1,0,Suppressed due to small numbers,0.77,3,5 to 15% lower,0.52 to 1.09,14,3.66,4,Within 5%,3.47,4,Within 5%,2.86 to 4.54,4,"2,000-3,999 births",2.71,0.83,3.54
2024,265,Warrington and Halton Teaching Hospitals NHS Foundation Trust,England,North West,,,North West,-2.610732599,53.3939821,2468,-1,-1,0,Suppressed due to small numbers,2.69,4,Within 5%,2.11 to 3.53,2462,-1,-1,0,Suppressed due to small numbers,0.83,4,Within 5%,0.57 to 1.19,8,3.24,3,5 to 15% lower,3.52,4,Within 5%,2.96 to 4.57,4,"2,000-3,999 births",2.71,0.83,3.54
2024,267,West Hertfordshire Teaching Hospitals NHS Trust,England,East of England,,,East of England,-0.40447202,51.64905069,3825,-1,-1,0,Suppressed due to small numbers,2.76,4,Within 5%,2.12 to 3.69,3814,-1,-1,0,Suppressed due to small numbers,0.82,4,Within 5%,0.55 to 1.20,13,3.4,4,Within 5%,3.57,4,Within 5%,2.98 to 4.66,4,"2,000-3,999 births",2.71,0.83,3.54
2024,271,West Suffolk NHS Foundation Trust,England,East of England,,,East of England,0.70917557,52.23166231,2113,-1,-1,0,Suppressed due to small numbers,2.57,3,5 to 15% lower,1.81 to 3.23,2112,-1,-1,0,Suppressed due to small numbers,0.82,4,Within 5%,0.55 to 1.20,-1,-1,0,Suppressed due to small numbers,3.39,4,Within 5%,2.64 to 4.26,4,"2,000-3,999 births",2.71,0.83,3.54
2024,272,Western Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-7.290533264,54.98610497,3251,7,2.15,2,Over 15% lower,2.65,4,Within 5%,2.03 to 3.48,3244,4,1.23,5,Over 5% higher,0.87,4,Within 5%,0.61 to 1.29,11,3.38,4,Within 5%,3.51,4,Within 5%,2.89 to 4.52,4,"2,000-3,999 births",2.71,0.83,3.54
2024,275,Whittington Health NHS Trust,England,London,,,London,-0.138175081,51.56668086,2622,5,1.91,2,Over 15% lower,2.61,4,Within 5%,1.92 to 3.30,2617,3,1.15,5,Over 5% higher,0.85,4,Within 5%,0.58 to 1.24,8,3.05,3,5 to 15% lower,3.45,4,Within 5%,2.77 to 4.37,4,"2,000-3,999 births",2.71,0.83,3.54
2024,277,Wirral University Teaching Hospital NHS Foundation Trust,England,North West,,,North West,-3.0954486,53.37084064,2919,7,2.4,2,Over 15% lower,3.16,4,Within 5%,2.37 to 4.16,2912,10,3.43,5,Over 5% higher,1.62,5,Over 5% higher,1.19 to 2.39,17,5.82,5,Over 5% higher,4.83,4,Within 5%,4.01 to 6.35,2,Level 3 NICU,3.22,1.46,4.68
2024,278,Worcestershire Acute Hospitals NHS Trust,England,Midlands,,,West Midlands,-2.181143497,52.19120211,4708,9,1.91,2,Over 15% lower,2.6,4,Within 5%,1.92 to 3.33,4699,4,0.85,5,Over 5% higher,0.75,4,Within 5%,0.52 to 1.05,13,2.76,2,Over 15% lower,3.34,4,Within 5%,2.69 to 4.21,3,"4,000 or more births",2.72,0.73,3.44
2024,280,"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",England,North West,,,North West,-2.629526099,53.55754888,2406,-1,-1,0,Suppressed due to small numbers,2.57,3,5 to 15% lower,1.86 to 3.30,2403,-1,-1,0,Suppressed due to small numbers,0.83,4,Within 5%,0.57 to 1.18,5,2.08,2,Over 15% lower,3.4,4,Within 5%,2.70 to 4.30,4,"2,000-3,999 births",2.71,0.83,3.54
