ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,95,Hywel Dda University Health Board,Wales,Wales,,,Wales,-4.071296661,52.41603681,2823,-1,-1,0,Suppressed due to small numbers,2.63,4,Within 5%,1.87 to 3.50,2819,-1,-1,0,Suppressed due to small numbers,0.8,4,Within 5%,0.55 to 1.10,5,1.77,2,Over 15% lower,3.43,4,Within 5%,2.68 to 4.44,4,"2,000-3,999 births",2.71,0.83,3.54
2024,96,Imperial College Healthcare NHS Trust,England,London,,,London,-0.236658408,51.51652304,9854,25,2.54,2,Over 15% lower,2.98,3,5 to 15% lower,2.16 to 3.75,9829,10,1.02,2,Over 15% lower,1.3,3,5 to 15% lower,0.92 to 1.85,35,3.55,2,Over 15% lower,4.28,3,5 to 15% lower,3.45 to 5.39,2,Level 3 NICU,3.22,1.46,4.68
2024,99,Isle of Wight NHS Trust,England,South East,,,Thames Valley and Wessex,-1.300887078,50.71110111,904,-1,-1,0,Suppressed due to small numbers,2.42,4,Within 5%,1.55 to 3.68,902,-1,-1,0,Suppressed due to small numbers,0.69,4,Within 5%,0.34 to 1.12,-1,-1,0,Suppressed due to small numbers,3.1,4,Within 5%,2.18 to 4.52,5,"Under 2,000 births",2.44,0.7,3.13
2024,100,James Paget University Hospitals NHS Foundation Trust,England,East of England,,,East of England,1.717979928,52.56167214,1627,-1,-1,0,Suppressed due to small numbers,2.35,4,Within 5%,1.45 to 3.46,1625,-1,-1,0,Suppressed due to small numbers,0.73,4,Within 5%,0.46 to 1.26,5,3.07,4,Within 5%,3.09,4,Within 5%,2.13 to 4.32,5,"Under 2,000 births",2.44,0.7,3.13
2024,103,Kettering General Hospital NHS Foundation Trust,England,Midlands,,,East Midlands,-0.741293113,52.40278284,3023,9,2.98,5,Over 5% higher,2.72,4,Within 5%,2.08 to 3.56,3014,4,1.33,5,Over 5% higher,0.86,4,Within 5%,0.60 to 1.28,13,4.3,5,Over 5% higher,3.58,4,Within 5%,3.02 to 4.68,4,"2,000-3,999 births",2.71,0.83,3.54
2024,104,King's College Hospital NHS Foundation Trust,England,London,,,London,-0.092305953,51.46835686,7480,21,2.81,3,5 to 15% lower,3.09,4,Within 5%,2.39 to 3.97,7459,6,0.8,2,Over 15% lower,1.18,3,5 to 15% lower,0.85 to 1.63,27,3.61,2,Over 15% lower,4.27,4,Within 5%,3.53 to 5.35,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,105,Kingston and Richmond NHS Foundation Trust,England,London,,,London,-0.283089971,51.41428465,4649,-1,-1,0,Suppressed due to small numbers,2.79,4,Within 5%,2.21 to 3.71,4636,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.46 to 0.98,14,3.01,3,5 to 15% lower,3.48,4,Within 5%,2.86 to 4.61,3,"4,000 or more births",2.72,0.73,3.44
2024,107,Lancashire Teaching Hospitals NHS Foundation Trust,England,North West,,,North West,-2.707403408,53.79134978,4293,7,1.63,2,Over 15% lower,2.98,3,5 to 15% lower,2.04 to 3.91,4286,6,1.4,4,Within 5%,1.49,4,Within 5%,1.09 to 2.08,13,3.03,2,Over 15% lower,4.46,4,Within 5%,3.52 to 5.74,2,Level 3 NICU,3.22,1.46,4.68
2024,111,Lewisham and Greenwich NHS Trust,England,London,,,London,-0.017050825,51.45432952,6677,18,2.7,4,Within 5%,2.59,4,Within 5%,1.97 to 3.34,6659,3,0.45,2,Over 15% lower,0.7,4,Within 5%,0.45 to 0.96,21,3.15,3,5 to 15% lower,3.29,4,Within 5%,2.73 to 4.17,3,"4,000 or more births",2.72,0.73,3.44
2024,116,Liverpool Women's NHS Foundation Trust,England,North West,,,North West,-2.959982485,53.39827297,7116,17,2.39,2,Over 15% lower,3.02,3,5 to 15% lower,2.28 to 3.89,7099,7,0.99,2,Over 15% lower,1.18,3,5 to 15% lower,0.84 to 1.67,24,3.37,2,Over 15% lower,4.19,3,5 to 15% lower,3.44 to 5.38,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,293,London North West University Healthcare NHS Trust,England,London,,,London,-0.322481448,51.57509848,3799,13,3.42,5,Over 5% higher,2.73,4,Within 5%,2.09 to 3.55,3786,3,0.79,4,Within 5%,0.81,4,Within 5%,0.57 to 1.15,16,4.21,5,Over 5% higher,3.54,4,Within 5%,2.97 to 4.52,4,"2,000-3,999 births",2.71,0.83,3.54
2024,119,Maidstone and Tunbridge Wells NHS Trust,England,South East,,,"Kent, Surrey and Sussex",0.307261977,51.14914926,5495,15,2.73,4,Within 5%,2.78,4,Within 5%,2.15 to 3.72,5480,4,0.73,4,Within 5%,0.75,4,Within 5%,0.51 to 1.13,19,3.46,4,Within 5%,3.52,4,Within 5%,2.91 to 4.65,3,"4,000 or more births",2.72,0.73,3.44
2024,297,Manchester University NHS Foundation Trust,England,North West,,,North West,-2.224708374,53.46142608,16160,58,3.59,5,Over 5% higher,3.18,4,Within 5%,2.56 to 3.99,16102,12,0.75,2,Over 15% lower,1.14,3,5 to 15% lower,0.82 to 1.58,70,4.33,4,Within 5%,4.33,4,Within 5%,3.76 to 5.41,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
